source,record_id,supplier,inspector,date,cc,model,color,po,po_qty,glove_type,order_type,sampling_size,critical_defects,major_defects,minor_defects,defect_qty,result,result_raw,gtd_issue,visual_issue,functional_issue,liner_issue,size_issue,important_issue,gtd_defects,visual_defects,functional_defects,liner_defects,size_defects,defect_rate,month,risk_level,has_defect,is_fail
Jiandaoyun Gloves / ZX FQC,67243666f40f64032a19c96a,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2024-10-30 16:00:00+00:00,325084.0,8585145.0,黑色,4520853404.0,1152.0,单层,replenishment翻单,32.0,0.0,1.0,3.0,4.0,PASS,PASS合格,nan,线头，小指处露町尖，袖口罗口不平，大拇指不圆顺,nan,nan,nan,nan,0.0,4.0,0.0,0.0,0.0,0.125,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,67246a8ecf076aeb75416267,49425 SHANDONG JIANHUA ZHONGXING GLO,汤君玲,2024-10-31 16:00:00+00:00,309192,8801834,粉,4520762790,240.0,滑雪,replenishment翻单,5.0,0.0,1.0,0.0,1.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.2,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,6724778a5183060b70f6e46b,49425 SHANDONG JIANHUA ZHONGXING GLO,汤君玲,2024-10-31 16:00:00+00:00,309192,8738689,青绿,4520752419,420.0,滑雪,replenishment翻单,5.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2024-10,Low,False,False
Jiandaoyun Gloves / ZX FQC,67247fe79a8d86bbd2faa139,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-10-31 16:00:00+00:00,123676,8398148,黑色,4520992145,780.0,单层,replenishment翻单,5.0,0.0,1.0,2.0,3.0,PASS,PASS合格,nan,袖口断线、线头,nan,nan,nan,袖口断线、线头,0.0,3.0,0.0,0.0,0.0,0.6,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,67248404640306a5c44f605f,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2024-10-30 16:00:00+00:00,305595,8530327,黑色,4520999196,528.0,滑雪,replenishment翻单,5.0,0.0,1.0,3.0,4.0,PASS,PASS合格,nan,线头，扭指，明线距边宽，,nan,指叉处上下片未对齐,nan,扭指   内里指叉处上下片未对齐,0.0,3.0,0.0,1.0,0.0,0.8,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,672486b1fd93330c206bf2e7,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-10-31 16:00:00+00:00,123676,8398149,荧光黄,4521096785,60.0,单层,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2024-10,Low,False,False
Jiandaoyun Gloves / ZX FQC,672487e623154d06d3cd9772,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-10-31 16:00:00+00:00,123676,8398149,荧光黄,4521099645,60.0,单层,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2024-10,Low,False,False
Jiandaoyun Gloves / ZX FQC,67248b30eadd2dc1407548bc,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-10-31 16:00:00+00:00,123676,8398148,黑色,4521005928,900.0,单层,replenishment翻单,5.0,0.0,2.0,3.0,5.0,PASS,PASS合格,nan,扭指、线头,nan,nan,nan,扭指、线头,0.0,5.0,0.0,0.0,0.0,1.0,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,67248f77c716b63db40746aa,49425 SHANDONG JIANHUA ZHONGXING GLO,汤君玲,2024-10-31 16:00:00+00:00,309192,8738689,青绿,4520752419,420.0,滑雪,replenishment翻单,5.0,0.0,1.0,2.0,3.0,PASS,PASS合格,破埙,线头,nan,nan,nan,线头、外箱破埙,1.0,2.0,0.0,0.0,0.0,0.6,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,672490aa1e8316ac3cdb4a89,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2024-10-30 16:00:00+00:00,305595,8530327,黑色,4521205116,288.0,滑雪,replenishment翻单,5.0,0.0,0.0,2.0,2.0,PASS,PASS合格,nan,线头,nan,nan,nan,线头,0.0,2.0,0.0,0.0,0.0,0.4,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,67249bec4b9cc47f4d9730b2,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2024-10-31 16:00:00+00:00,347696,8871727,白色,4521896995,486.0,滑雪,replenishment翻单,5.0,0.0,1.0,2.0,3.0,PASS,PASS合格,nan,线头，大拇指不圆顺,nan,nan,nan,大拇指指尖不圆顺,0.0,3.0,0.0,0.0,0.0,0.6,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,67249f83bc0aaf3e676940aa,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-10-31 16:00:00+00:00,123676,8398149,荧光黄,4521056340,60.0,单层,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2024-10,Low,False,False
Jiandaoyun Gloves / ZX FQC,6724a45ffafe4e674d7a0058,49425 SHANDONG JIANHUA ZHONGXING GLO,汤君玲,2024-10-31 16:00:00+00:00,347696,8871728,黑色,4520752419,168.0,滑雪,replenishment翻单,5.0,0.0,1.0,0.0,1.0,PASS,PASS合格,nan,扭指,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.2,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,6724a50b2bb24bd5f7a75d9e,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2024-10-31 16:00:00+00:00,330572,8615465,黑色,4521897295,384.0,半指,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,线头，饰皮与面料未对齐,nan,nan,nan,nan,0.0,2.0,0.0,0.0,0.0,0.4,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,6724ac324e609a9c83e73810,49425 SHANDONG JIANHUA ZHONGXING GLO,汤君玲,2024-10-31 16:00:00+00:00,309192,8801834,粉,4520762790,240.0,滑雪,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,外箱破埙,线头,nan,nan,nan,线头,1.0,1.0,0.0,0.0,0.0,0.4,2024-10,Critical,True,False
Jiandaoyun Gloves / ZX FQC,67259f0caa0fd4736274de3a,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-11-01 16:00:00+00:00,347696,8871729,深蓝,4520672439,162.0,滑雪,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,脏污、线头,nan,nan,nan,脏污、线头,0.0,2.0,0.0,0.0,0.0,0.4,2024-11,Critical,True,False
Jiandaoyun Gloves / ZX FQC,6725d760fb23e3274cc2fb2a,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-11-01 16:00:00+00:00,347696,8871729,深蓝,4520786804,1116.0,滑雪,replenishment翻单,5.0,0.0,1.0,2.0,3.0,PASS,PASS合格,nan,脏污、线头,nan,nan,nan,脏污、线头,0.0,3.0,0.0,0.0,0.0,0.6,2024-11,Critical,True,False
Jiandaoyun Gloves / ZX FQC,6725db04253137dfd7d8c144,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-11-01 16:00:00+00:00,347696,8871729,深蓝,4521921961,42.0,滑雪,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2024-11,Low,False,False
Jiandaoyun Gloves / ZX FQC,6725e7b9253137dfd7e2a7a3,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-11-01 16:00:00+00:00,347696,8871729,深蓝,4520703904,1308.0,滑雪,replenishment翻单,8.0,0.0,2.0,2.0,4.0,PASS,PASS合格,nan,脏污、线头、浮毛未清理干净,nan,nan,nan,脏污、线头、浮毛未清理干净,0.0,4.0,0.0,0.0,0.0,0.5,2024-11,Critical,True,False
Jiandaoyun Gloves / ZX FQC,6725ef60f2014daa1e18ef94,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-11-01 16:00:00+00:00,347696,8871729,深蓝,4520703904,1308.0,滑雪,replenishment翻单,8.0,0.0,2.0,2.0,4.0,PASS,PASS合格,nan,脏污、线头、浮毛未清理干净,nan,nan,nan,脏污、线头、浮毛未清理干净,0.0,4.0,0.0,0.0,0.0,0.5,2024-11,Critical,True,False
Jiandaoyun Gloves / ZX FQC,6726ed8f2793963a816c5d71,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-11-02 16:00:00+00:00,347696,8871729,深蓝,4520871435,738.0,滑雪,replenishment翻单,5.0,0.0,1.0,2.0,3.0,PASS,PASS合格,nan,脏污、线头,nan,nan,nan,脏污、线头,0.0,3.0,0.0,0.0,0.0,0.6,2024-11,Critical,True,False
Jiandaoyun Gloves / ZX FQC,672702cc577905dddcde1a0e,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-11-02 16:00:00+00:00,347696,8871729,深蓝,4521843221,126.0,滑雪,replenishment翻单,3.0,0.0,0.0,1.0,1.0,PASS,PASS合格,nan,线头,nan,nan,nan,线头,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,2024-11,Critical,True,False
Jiandaoyun Gloves / ZX FQC,67270b7dc116351aaea24010,49425 SHANDONG JIANHUA ZHONGXING GLO,王振英,2024-11-02 16:00:00+00:00,347696,8871729,深蓝,4520878732,1056.0,滑雪,replenishment翻单,5.0,0.0,2.0,2.0,4.0,PASS,PASS合格,nan,浮毛、线头,nan,防风袖处开线,nan,浮毛、线头、防风袖处开线,0.0,3.0,0.0,1.0,0.0,0.8,2024-11,Critical,True,False
Jiandaoyun Gloves / ZX FQC,672854173265f65e0ab0ab34,49425 SHANDONG JIANHUA ZHONGXING GLO,汤君玲,2024-11-01 16:00:00+00:00,350320,8842709,黑色,4521197889,120.0,半指,replenishment翻单,3.0,0.0,0.0,1.0,1.0,PASS,PASS合格,nan,线头,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,2024-11,Critical,True,False
